관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,지상층수,지하층수,승강기_수,주건축물수,세대수,가구수,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적,용적율,주차_대수,y,x,업종_idx
11410-10212,11410-207,지상,홍제동 298-9,3.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.9429259,37.5908172,13
11380-8327,11380-11,지상,불광동 310-161,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9217107,37.6193262,13
11380-8339,11380-11,지상,불광동 310-161,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,126.9217107,37.6193262,13
11410-20797,,지상,서울특별시 서대문구 가좌로 90-2,4.0,1.0,0.0,,,,,,,,,,207.84,3.0,126.9277361,37.5810058,13
11200-1227,,지상,서울특별시 성동구 고산자로 164,,,,21.0,1410.0,0.0,,,,,,,295.96,1535.0,127.0366365,37.5549104,13
11140-196,,지상,서울특별시 중구 새문안로 16,,,,2.0,0.0,0.0,,,,,,,243.48,238.0,126.9683226,37.5668447,13
11110-647,,지상,서울특별시 종로구 새문안로 29,,,,10.0,0.0,0.0,,,,,,,255.97,451.0,126.96775,37.5684083,13
11140-22644,,지상,서울특별시 중구 마장로 81-10,3.0,1.0,0.0,,,,,,,,,,233.5,0.0,127.0190008,37.568831,13
11140-23231,,지상,서울특별시 중구 퇴계로 441-1,3.0,0.0,0.0,,,,,,,,,,0.0,0.0,127.0208377,37.5658334,13
11740-100192607,,지상,서울특별시 강동구 상일로 74,,,,43.0,2283.0,0.0,,,,,,,177.05,2616.0,127.1752949,37.5531625,13
11290-26473,,지상,서울특별시 성북구 종암로 56,3.0,0.0,0.0,,,,,,,,,,0.0,0.0,127.0366809,37.5957278,13
11290-23058,11290-961,지상,길음동 32-9,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,127.0297749,37.6121424,13
11350-280,,지상,서울특별시 노원구 화랑로 727,,,,15.0,0.0,0.0,,,,,,,30.77,0.0,127.1037498,37.6364141,13
11110-6441,,지상,서울특별시 종로구 진흥로 462,2.0,1.0,0.0,,,,,,,,,,70.91,0.0,126.9592069,37.6066952,13
11740-5890,,지상,서울특별시 강동구 동남로67길 41,5.0,1.0,0.0,,,,,,,,,,208.11,2.0,127.1535408,37.5486681,13
11215-382,,지상,화양동 33-40,,,,2.0,0.0,2.0,,,,,,,0.0,0.0,127.069107,37.5447117,13
11230-100266315,,지상,서울특별시 동대문구 경동시장로9길 6,1.0,0.0,0.0,,,,,,,,,,59.63,0.0,127.0401484,37.5813131,13
11170-27483,,지상,서울특별시 용산구 이태원로 222-26,2.0,1.0,0.0,,,,,,,,,,0.0,0.0,126.999917,37.5343934,13
11740-100260602,,지상,서울특별시 강동구 올림픽로 876,1.0,0.0,0.0,,,,,,,,,,0.09,45.0,127.130348,37.5606377,13
11740-20851,,지상,서울특별시 강동구 양재대로 1637,3.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.143832,37.5517146,13
11230-14179,,지상,서울특별시 동대문구 이문로 45,3.0,1.0,0.0,,,,,,,,,,0.0,0.0,127.0567071,37.591554,13
